blueWins,blueWardsPlaced,blueFirstBlood,blueKills,blueDeaths,blueDragons,blueHeralds,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,redWins,redWardsPlaced,redFirstBlood,redKills,redDeaths,redDragons,redHeralds,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalMinionsKilled,redTotalJungleMinionsKilled
0,28,1,9,6,0,0,0,17210,6.6,195,36,1,15,0,6,9,0,0,0,16567,6.8,197,55
0,12,0,5,5,0,0,0,14712,6.6,174,43,1,12,1,5,5,1,1,1,17620,6.8,240,52
0,15,0,7,11,1,0,0,16113,6.4,186,46,1,15,1,11,7,0,0,0,17285,6.8,203,28
0,43,0,4,5,0,1,0,15157,7,201,55,1,15,1,5,4,0,0,0,16478,7,235,47
0,75,0,6,6,0,0,0,16400,7,210,57,1,17,1,6,6,1,0,0,17404,7,225,67
1,18,0,5,3,1,0,0,15899,7,225,42,0,36,1,3,5,0,0,0,15201,7,221,59
1,18,1,7,6,1,0,0,16874,6.8,225,53,0,57,0,6,7,0,0,0,14463,6.4,164,35
0,16,0,5,13,0,0,0,15305,6.4,209,48,1,15,1,13,5,1,0,0,17920,6.6,157,54
0,16,0,7,7,0,0,0,16401,7.2,189,61,1,15,1,7,7,1,1,0,18380,7.2,240,53
1,13,1,4,5,1,0,0,15057,6.8,220,39,0,16,0,5,4,0,0,0,16605,6.8,247,43
0,20,1,4,4,0,0,0,15474,6.6,231,28,1,15,0,4,4,1,0,0,15143,7.2,216,51
0,33,1,11,11,0,1,0,16695,7,157,40,1,17,0,11,11,0,0,0,18200,7,188,52
1,18,1,7,1,1,0,0,17865,7.4,238,53,0,12,0,1,7,0,0,0,14591,6.8,240,50
0,14,0,4,9,0,1,0,14979,6.6,210,52,1,20,1,9,4,0,0,0,18393,7.2,229,51
1,15,1,4,4,0,0,0,15722,6.8,224,51,0,102,0,4,4,0,0,0,16192,7,242,48
0,17,0,3,7,0,0,0,15015,6.8,209,53,1,18,1,7,3,0,0,0,17011,7.2,237,51
1,14,1,10,2,0,0,0,19733,7.6,263,56,0,13,0,2,10,1,0,0,14505,6.8,210,64
0,43,0,3,7,0,1,0,14852,6.8,203,54,1,17,1,7,3,0,0,0,16827,6.8,218,53
1,21,1,5,4,0,0,0,16282,6.8,213,49,0,19,0,4,5,1,1,0,15400,6.6,228,52
0,11,0,5,9,0,0,0,14994,7,188,48,1,15,1,9,5,0,0,0,18149,7.4,219,56
1,14,1,11,6,1,0,0,18606,7.2,214,45,0,12,0,6,11,0,0,0,16080,7,225,48
0,13,0,4,13,0,0,0,15878,6.8,203,43,1,15,1,13,4,1,0,0,18713,7.2,209,45
0,17,0,4,6,0,0,0,15773,7,238,56,1,16,1,6,4,1,0,0,17027,7,231,60
0,78,0,4,3,1,1,0,15906,6.8,238,67,1,15,1,3,4,0,0,0,15500,7,220,64
1,33,0,6,9,0,0,0,16515,6.8,208,45,0,18,1,9,6,0,0,0,17535,6.6,197,36
0,17,0,4,8,0,0,0,15415,6.2,204,44,1,19,1,8,4,1,0,0,17887,7,221,36
1,18,0,8,6,1,0,0,17178,7,209,44,0,10,1,6,8,0,0,0,15918,6.8,233,36
