gameDuration,blueFirstBlood,blueFirstTower,blueFirstInhibitor,blueFirstBaron,blueFirstDragon,blueTowerKills,blueInhibitorKills,blueBaronKills,blueDragonKills,blueKills,blueDeath,blueAssist,blueTotalMinionKills,redFirstBlood,redFirstTower,redFirstInhibitor,redFirstBaron,redFirstDragon,redTowerKills,redInhibitorKills,redBaronKills,redDragonKills,redKills,redDeath,redAssist,redTotalMinionKills
13,0.50595,0.46825,0.38498,0.00198,0.26786,2.64087,0.42857,0.00198,0.33532,17.6429,17.3889,26.9663,191.165,0.49405,0.52976,0.44246,0,0.2815,2.93651,0.48214,0,0.34325,17.2599,17.8294,26.7778,197.851
16,0.510954064,0.513780919,0.18409894,0.002473498,0.384805654,2.26254417,0.225795053,0.002473498,0.646289753,17.01908127,16.92932862,25.68586572,316.4123675,0.489045936,0.480565371,0.174204947,0.006713781,0.450883392,2.099293286,0.218021201,0.006713781,0.713780919,16.85017668,17.09823322,25.62402827,316.6855124
19,0.522008003,0.520552928,0.260458348,0.020734813,0.375045471,2.928337577,0.392142597,0.022189887,0.768643143,21.80574754,21.40742088,35.63186613,358.2480902,0.477991997,0.479083303,0.232811932,0.013823208,0.442706439,2.768279374,0.354310658,0.013823208,0.840305566,21.30301928,21.89159694,34.90287377,360.7333576
22,0.499755501,0.529095355,0.297066015,0.048655257,0.407334963,3.580684597,0.458190709,0.049633252,1.066748166,22.24303178,22.36625917,35.57286064,447.3139364,0.500244499,0.470904645,0.272371638,0.063080685,0.490220049,3.473594132,0.419559902,0.06405868,1.194132029,22.29535452,22.32420538,35.46259169,451.202934
25,0.506861642,0.540382452,0.366254218,0.271091114,0.424071991,4.391001125,0.579077615,0.273790776,1.327559055,23.77300337,23.39527559,38.35883015,518.1671541,0.493138358,0.459617548,0.323959505,0.299662542,0.520809899,4.018447694,0.504386952,0.301462317,1.497637795,23.3151856,23.84431946,37.54848144,522.7214848
28,0.505308392,0.546006067,0.43554095,0.386501517,0.419868554,5.05586451,0.728008089,0.390040445,1.578614762,25.56445905,25.80813953,42.17340748,580.987361,0.494691608,0.453993933,0.43528817,0.421638018,0.548281092,5.013650152,0.710060667,0.425429727,1.835692619,25.72851365,25.6483822,42.3958544,588.9560162
31,0.501904483,0.52886024,0.473776736,0.432757105,0.429827132,5.620275418,0.801640785,0.507471433,1.837386464,27.29065338,27.42162321,46.36946967,644.998828,0.498095517,0.47113976,0.46000586,0.467916789,0.55669499,5.48666862,0.750952241,0.546440082,2.093466159,27.34954585,27.36771169,46.07090536,653.995312
34,0.495448635,0.535760728,0.490247074,0.468573906,0.436931079,6.121369744,0.89076723,0.678803641,2.11053316,29.39098396,29.64716081,50.79497182,701.8088427,0.504551365,0.464239272,0.467706979,0.481577807,0.558734287,5.99479844,0.851755527,0.697442566,2.364109233,29.5786736,29.46163849,51.26094495,711.9003034
37,0.493610224,0.527955272,0.483226837,0.447284345,0.457667732,6.427316294,0.99600639,0.744408946,2.357028754,31.48642173,31.75319489,55.77396166,757.451278,0.506389776,0.472044728,0.491214058,0.527955272,0.540734824,6.514376997,1.037539936,0.912140575,2.638977636,31.67651757,31.54792332,56.12460064,765.9640575
40,0.506849315,0.561643836,0.523972603,0.479452055,0.41609589,6.941780822,1.244863014,0.952054795,2.563356164,33.82191781,34.21917808,59.97945205,812.7054795,0.493150685,0.438356164,0.45890411,0.5,0.582191781,6.840753425,1.207191781,1.056506849,2.934931507,34.14041096,33.875,60.04965753,825.875
43,0.438297872,0.595744681,0.523404255,0.438297872,0.438297872,7.238297872,1.463829787,1.05106383,3.085106383,36.07659574,35.74042553,63.98723404,860.3106383,0.561702128,0.404255319,0.459574468,0.54893617,0.561702128,7.140425532,1.446808511,1.242553191,2.889361702,35.67234043,36.14893617,64.38723404,874.4808511
46,0.527472527,0.549450549,0.494505495,0.549450549,0.43956044,8.065934066,1.956043956,1.494505495,3.153846154,39.0989011,38.3956044,69.8021978,904.2087912,0.472527473,0.450549451,0.494505495,0.450549451,0.56043956,7.010989011,1.582417582,1.186813187,3.351648352,38.2967033,39.17582418,69.01098901,924.3076923
49,0.606060606,0.636363636,0.545454545,0.363636364,0.424242424,8.121212121,2.181818182,1.212121212,3.333333333,41.57575758,39.27272727,73.54545455,954.5454545,0.393939394,0.363636364,0.454545455,0.636363636,0.575757576,7.272727273,1.606060606,1.575757576,3.393939394,39.21212121,41.60606061,66.87878788,986.6666667
52,0.416666667,0.583333333,0.583333333,0.5,0.666666667,8.5,2.25,1.583333333,4.083333333,36.58333333,39.58333333,73.33333333,1094.25,0.583333333,0.416666667,0.416666667,0.5,0.333333333,6.666666667,2.166666667,1.75,3.333333333,39.5,36.58333333,74.75,1116.333333
